Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,PPAGE,PPETHM,PPEDUCAT,PPGENDER,PPHHHEAD,PPINCIMP,PPMSACAT,PPREG4,LGBT,MARRIED,NUM_CHILD_HH,Q16
(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,(5) None of the time,(4) A little of the time,(5) None of the time,33,"(3) Other, Non-Hispanic",(4) Bachelor's degree or higher,(2) Female,(1) Yes,"(16) $100,000 to $124,999",(1) Metro,(3) South,(0) No,(1) Yes,(0) 0,"(1) Yes, moved once"
(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,20,(4) Hispanic,(2) High school,(2) Female,(0) No,"(11) $40,000 to $49,999",(1) Metro,(3) South,(0) No,(0) No,(0) 0,"(1) Yes, moved once"
(2) Most of the time ,(2) Most of the time ,(2) Most of the time ,(2) Most of the time ,(2) Most of the time ,(2) Most of the time ,33,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(1) Male,(1) Yes,"(17) $125,000 to $149,999",(1) Metro,(2) Midwest,,(1) Yes,(2) 2,"(3) No, have not moved"
(3) Some of the time ,(4) A little of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,43,(4) Hispanic,(4) Bachelor's degree or higher,(1) Male,(1) Yes,"(11) $40,000 to $49,999",(1) Metro,(3) South,(0) No,(1) Yes,(2) 2,"(3) No, have not moved"
(3) Some of the time ,(3) Some of the time ,(1) All of the time,(5) None of the time,(5) None of the time,(5) None of the time,41,"(3) Other, Non-Hispanic",(4) Bachelor's degree or higher,(2) Female,(1) Yes,"(18) $150,000 to $174,999",(1) Metro,(1) Northeast,(0) No,(1) Yes,(3) 3,"(3) No, have not moved"
(3) Some of the time ,(3) Some of the time ,(4) A little of the time,(4) A little of the time,(5) None of the time,(5) None of the time,49,"(1) White, Non-Hispanic",(3) Some college,(1) Male,(1) Yes,"(09) $30,000 to $34,999",(1) Metro,(3) South,(0) No,(1) Yes,(1) 1,"(3) No, have not moved"
(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,58,"(1) White, Non-Hispanic",(3) Some college,(1) Male,(0) No,"(16) $100,000 to $124,999",(0) Non-Metro,(1) Northeast,(0) No,(1) Yes,(0) 0,"(3) No, have not moved"
(3) Some of the time ,(5) None of the time,(3) Some of the time ,(4) A little of the time,(4) A little of the time,(4) A little of the time,61,"(1) White, Non-Hispanic",(3) Some college,(1) Male,(1) Yes,"(07) $20,000 to $24,999",(1) Metro,(3) South,,(1) Yes,(0) 0,"(3) No, have not moved"
(4) A little of the time,(5) None of the time,(3) Some of the time ,(4) A little of the time,(4) A little of the time,(5) None of the time,32,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(2) Female,(1) Yes,"(16) $100,000 to $124,999",(1) Metro,(3) South,(0) No,(1) Yes,(0) 0,"(3) No, have not moved"
(3) Some of the time ,(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,(5) None of the time,25,(4) Hispanic,(1) Less than high school,(2) Female,(0) No,"(05) $12,500 to $14,999",(1) Metro,(3) South,(0) No,(0) No,(0) 0,"(3) No, have not moved"
(4) A little of the time,(4) A little of the time,(4) A little of the time,(5) None of the time,(5) None of the time,(3) Some of the time ,30,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(1) Male,(0) No,"(07) $20,000 to $24,999",(1) Metro,(1) Northeast,(0) No,(0) No,(0) 0,"(2) Yes, moved two or more times"
(3) Some of the time ,(5) None of the time,(5) None of the time,(5) None of the time,(4) A little of the time,(5) None of the time,54,"(1) White, Non-Hispanic",(2) High school,(2) Female,(0) No,"(01) Less than $5,000",(1) Metro,(4) West,,(0) No,(2) 2,"(1) Yes, moved once"
(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,(5) None of the time,(5) None of the time,35,(4) Hispanic,(4) Bachelor's degree or higher,(1) Male,(1) Yes,"(02) $5,000 to $7,499",(1) Metro,(3) South,(1) Yes,(0) No,(0) 0,"(1) Yes, moved once"
(4) A little of the time,(5) None of the time,(3) Some of the time ,(5) None of the time,(4) A little of the time,(5) None of the time,43,(4) Hispanic,(2) High school,(1) Male,(1) Yes,"(12) $50,000 to $59,999",(1) Metro,(3) South,(0) No,(0) No,(3) 3,"(3) No, have not moved"
(2) Most of the time ,(1) All of the time,(3) Some of the time ,(2) Most of the time ,(2) Most of the time ,(1) All of the time,19,"(1) White, Non-Hispanic",(3) Some college,(2) Female,(0) No,"(17) $125,000 to $149,999",(1) Metro,(4) West,(0) No,(0) No,(0) 0,"(3) No, have not moved"
(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,(5) None of the time,(5) None of the time,50,(4) Hispanic,(1) Less than high school,(2) Female,(1) Yes,"(07) $20,000 to $24,999",(1) Metro,(3) South,(0) No,(1) Yes,(1) 1,"(3) No, have not moved"
(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,(4) A little of the time,37,(4) Hispanic,(2) High school,(2) Female,(0) No,"(10) $35,000 to $39,999",(1) Metro,(2) Midwest,(0) No,(0) No,(4) 4,"(3) No, have not moved"
(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,(5) None of the time,(5) None of the time,46,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(1) Male,(1) Yes,"(15) $85,000 to $99,999",(1) Metro,(3) South,(0) No,(1) Yes,(2) 2,"(3) No, have not moved"
(4) A little of the time,(4) A little of the time,(4) A little of the time,(4) A little of the time,(4) A little of the time,(5) None of the time,27,"(1) White, Non-Hispanic",(2) High school,(1) Male,(0) No,"(06) $15,000 to $19,999",(1) Metro,(1) Northeast,(0) No,(1) Yes,(0) 0,"(3) No, have not moved"
(3) Some of the time ,(4) A little of the time,(2) Most of the time ,(3) Some of the time ,(2) Most of the time ,(3) Some of the time ,59,"(1) White, Non-Hispanic",(3) Some college,(1) Male,(1) Yes,"(05) $12,500 to $14,999",(0) Non-Metro,(2) Midwest,,(0) No,(0) 0,"(3) No, have not moved"
(4) A little of the time,(3) Some of the time ,(4) A little of the time,(4) A little of the time,(4) A little of the time,(3) Some of the time ,55,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(2) Female,(1) Yes,"(19) $175,000 to $199,999",(1) Metro,(2) Midwest,(0) No,(1) Yes,(0) 0,"(3) No, have not moved"
(3) Some of the time ,(3) Some of the time ,(2) Most of the time ,(4) A little of the time,(3) Some of the time ,(4) A little of the time,19,"(2) Black, Non-Hispanic",(3) Some college,(2) Female,(1) Yes,"(08) $25,000 to $29,999",(1) Metro,(3) South,(1) Yes,(0) No,(0) 0,"(1) Yes, moved once"
(1) All of the time,(4) A little of the time,(4) A little of the time,(2) Most of the time ,(3) Some of the time ,(4) A little of the time,36,"(2) Black, Non-Hispanic",(1) Less than high school,(2) Female,(0) No,"(01) Less than $5,000",(1) Metro,(2) Midwest,(0) No,(0) No,(3) 3,"(3) No, have not moved"
(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,(3) Some of the time ,(4) A little of the time,28,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(1) Male,(1) Yes,"(03) $7,500 to $9,999",(0) Non-Metro,(2) Midwest,(0) No,(0) No,(0) 0,"(1) Yes, moved once"
(4) A little of the time,(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,(5) None of the time,52,"(2) Black, Non-Hispanic",(2) High school,(1) Male,(1) Yes,"(06) $15,000 to $19,999",(1) Metro,(3) South,(0) No,(1) Yes,(1) 1,"(3) No, have not moved"
(3) Some of the time ,(5) None of the time,(3) Some of the time ,(4) A little of the time,(5) None of the time,(5) None of the time,27,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(2) Female,(1) Yes,"(06) $15,000 to $19,999",(1) Metro,(1) Northeast,(0) No,(0) No,(1) 1,"(3) No, have not moved"
(1) All of the time,(2) Most of the time ,(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,50,"(1) White, Non-Hispanic",(3) Some college,(2) Female,(1) Yes,"(04) $10,000 to $12,499",(1) Metro,(1) Northeast,(0) No,(0) No,(0) 0,"(3) No, have not moved"
(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,33,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(2) Female,(1) Yes,"(18) $150,000 to $174,999",(1) Metro,(2) Midwest,(0) No,(1) Yes,(1) 1,"(3) No, have not moved"
(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,40,"(3) Other, Non-Hispanic",(4) Bachelor's degree or higher,(2) Female,(1) Yes,"(21) $250,000 or more",(1) Metro,(4) West,,(1) Yes,(1) 1,"(3) No, have not moved"
(5) None of the time,(4) A little of the time,(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,(4) A little of the time,55,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(2) Female,(1) Yes,"(13) $60,000 to $74,999",(1) Metro,(2) Midwest,(0) No,(1) Yes,(0) 0,"(3) No, have not moved"
(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,(4) A little of the time,(2) Most of the time ,(1) All of the time,63,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(1) Male,(1) Yes,"(05) $12,500 to $14,999",(1) Metro,(4) West,,(0) No,(0) 0,"(3) No, have not moved"
(3) Some of the time ,(5) None of the time,(3) Some of the time ,(5) None of the time,(2) Most of the time ,(5) None of the time,59,"(1) White, Non-Hispanic",(2) High school,(2) Female,(1) Yes,"(05) $12,500 to $14,999",(1) Metro,(3) South,(0) No,(0) No,(0) 0,"(3) No, have not moved"
(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,52,"(3) Other, Non-Hispanic",(4) Bachelor's degree or higher,(2) Female,(1) Yes,"(21) $250,000 or more",(1) Metro,(1) Northeast,(0) No,(1) Yes,(1) 1,"(3) No, have not moved"
(4) A little of the time,(4) A little of the time,(5) None of the time,(5) None of the time,(4) A little of the time,(3) Some of the time ,35,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(2) Female,(0) No,"(20) $200,000 to $249,999",(1) Metro,(1) Northeast,,(0) No,(0) 0,"(3) No, have not moved"
(4) A little of the time,(4) A little of the time,(4) A little of the time,(5) None of the time,(3) Some of the time ,(4) A little of the time,60,"(1) White, Non-Hispanic",(3) Some college,(1) Male,(1) Yes,"(01) Less than $5,000",(1) Metro,(4) West,(0) No,(0) No,(0) 0,"(1) Yes, moved once"
(3) Some of the time ,(5) None of the time,(4) A little of the time,(5) None of the time,(3) Some of the time ,(5) None of the time,61,"(1) White, Non-Hispanic",(3) Some college,(1) Male,(1) Yes,"(10) $35,000 to $39,999",(1) Metro,(2) Midwest,(0) No,(0) No,(0) 0,"(3) No, have not moved"
(3) Some of the time ,(5) None of the time,(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,36,"(1) White, Non-Hispanic",(2) High school,(1) Male,(1) Yes,"(16) $100,000 to $124,999",(1) Metro,(4) West,(0) No,(1) Yes,(4) 4,"(3) No, have not moved"
(5) None of the time,(5) None of the time,(4) A little of the time,(5) None of the time,(5) None of the time,(5) None of the time,58,"(2) Black, Non-Hispanic",(4) Bachelor's degree or higher,(1) Male,(0) No,"(07) $20,000 to $24,999",(1) Metro,(2) Midwest,(0) No,(0) No,(0) 0,"(3) No, have not moved"
(4) A little of the time,(5) None of the time,(3) Some of the time ,(5) None of the time,(4) A little of the time,(5) None of the time,36,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(1) Male,(1) Yes,"(21) $250,000 or more",(1) Metro,(4) West,(0) No,(1) Yes,(2) 2,"(3) No, have not moved"
(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,(5) None of the time,56,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(2) Female,(1) Yes,"(16) $100,000 to $124,999",(1) Metro,(1) Northeast,,(1) Yes,(0) 0,"(1) Yes, moved once"
(5) None of the time,(5) None of the time,(4) A little of the time,(5) None of the time,(5) None of the time,(5) None of the time,49,"(1) White, Non-Hispanic",(2) High school,(1) Male,(0) No,"(18) $150,000 to $174,999",(1) Metro,(3) South,(0) No,(1) Yes,(2) 2,"(3) No, have not moved"
(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,62,"(1) White, Non-Hispanic",(2) High school,(1) Male,(1) Yes,"(12) $50,000 to $59,999",(1) Metro,(1) Northeast,(0) No,(1) Yes,(0) 0,"(3) No, have not moved"
(5) None of the time,(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,,(5) None of the time,63,"(2) Black, Non-Hispanic",(4) Bachelor's degree or higher,(1) Male,(1) Yes,"(01) Less than $5,000",(1) Metro,(4) West,,(0) No,(0) 0,"(3) No, have not moved"
(4) A little of the time,(5) None of the time,(2) Most of the time ,(5) None of the time,(5) None of the time,(5) None of the time,22,"(1) White, Non-Hispanic",(3) Some college,(1) Male,(1) Yes,"(15) $85,000 to $99,999",(0) Non-Metro,(2) Midwest,(0) No,(0) No,(0) 0,"(1) Yes, moved once"
(3) Some of the time ,(4) A little of the time,(4) A little of the time,(4) A little of the time,(3) Some of the time ,(3) Some of the time ,33,"(1) White, Non-Hispanic",(2) High school,(1) Male,(1) Yes,"(05) $12,500 to $14,999",(0) Non-Metro,(2) Midwest,(0) No,(0) No,(0) 0,"(1) Yes, moved once"
(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,18,"(1) White, Non-Hispanic",(2) High school,(2) Female,(1) Yes,"(01) Less than $5,000",(1) Metro,(2) Midwest,,(0) No,(2) 2,"(3) No, have not moved"
(3) Some of the time ,(4) A little of the time,(3) Some of the time ,(3) Some of the time ,(4) A little of the time,(3) Some of the time ,59,"(1) White, Non-Hispanic",(2) High school,(1) Male,(1) Yes,"(15) $85,000 to $99,999",(1) Metro,(2) Midwest,(0) No,(1) Yes,(0) 0,"(3) No, have not moved"
(2) Most of the time ,(3) Some of the time ,(5) None of the time,(5) None of the time,(3) Some of the time ,(4) A little of the time,32,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(1) Male,(1) Yes,"(19) $175,000 to $199,999",(1) Metro,(3) South,(0) No,(1) Yes,(1) 1,"(3) No, have not moved"
(3) Some of the time ,,(3) Some of the time ,,(3) Some of the time ,(5) None of the time,33,"(2) Black, Non-Hispanic",(3) Some college,(2) Female,(1) Yes,"(09) $30,000 to $34,999",(1) Metro,(1) Northeast,,(0) No,(2) 2,"(3) No, have not moved"
(5) None of the time,(1) All of the time,(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,30,(4) Hispanic,(3) Some college,(1) Male,(0) No,"(10) $35,000 to $39,999",(1) Metro,(2) Midwest,(1) Yes,(0) No,(3) 3,"(3) No, have not moved"
(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,(4) A little of the time,(5) None of the time,40,"(3) Other, Non-Hispanic",(4) Bachelor's degree or higher,(2) Female,(1) Yes,"(15) $85,000 to $99,999",(1) Metro,(2) Midwest,(0) No,(0) No,(0) 0,"(3) No, have not moved"
(3) Some of the time ,(1) All of the time,(1) All of the time,(3) Some of the time ,(3) Some of the time ,(1) All of the time,35,"(1) White, Non-Hispanic",(1) Less than high school,(2) Female,(1) Yes,"(01) Less than $5,000",(1) Metro,(3) South,(0) No,(0) No,(1) 1,"(3) No, have not moved"
(3) Some of the time ,(5) None of the time,(3) Some of the time ,(5) None of the time,(3) Some of the time ,(4) A little of the time,41,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(2) Female,(0) No,"(12) $50,000 to $59,999",(1) Metro,(3) South,(0) No,(1) Yes,(3) 3,"(3) No, have not moved"
(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,54,"(2) Black, Non-Hispanic",(4) Bachelor's degree or higher,(2) Female,(0) No,"(09) $30,000 to $34,999",(1) Metro,(1) Northeast,,(0) No,(0) 0,"(3) No, have not moved"
(2) Most of the time ,(4) A little of the time,(1) All of the time,(5) None of the time,(4) A little of the time,(5) None of the time,31,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(1) Male,(1) Yes,"(18) $150,000 to $174,999",(1) Metro,(4) West,(0) No,(1) Yes,(1) 1,"(2) Yes, moved two or more times"
(3) Some of the time ,(5) None of the time,(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,(4) A little of the time,30,"(1) White, Non-Hispanic",(2) High school,(1) Male,(1) Yes,"(05) $12,500 to $14,999",(0) Non-Metro,(2) Midwest,(1) Yes,(0) No,(0) 0,"(3) No, have not moved"
(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,51,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(2) Female,(1) Yes,"(13) $60,000 to $74,999",(1) Metro,(3) South,(0) No,(0) No,(0) 0,"(3) No, have not moved"
(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,(5) None of the time,(5) None of the time,28,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(1) Male,(1) Yes,"(21) $250,000 or more",(1) Metro,(1) Northeast,(1) Yes,(0) No,(0) 0,"(1) Yes, moved once"
(2) Most of the time ,(2) Most of the time ,(3) Some of the time ,(3) Some of the time ,(2) Most of the time ,(3) Some of the time ,61,(4) Hispanic,(1) Less than high school,(1) Male,(1) Yes,"(03) $7,500 to $9,999",(1) Metro,(3) South,(0) No,(1) Yes,(0) 0,"(1) Yes, moved once"
(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,55,"(2) Black, Non-Hispanic",(2) High school,(1) Male,(1) Yes,"(10) $35,000 to $39,999",(1) Metro,(3) South,(0) No,(0) No,(0) 0,"(3) No, have not moved"
(3) Some of the time ,(4) A little of the time,(4) A little of the time,(5) None of the time,(4) A little of the time,(4) A little of the time,55,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(1) Male,(1) Yes,"(20) $200,000 to $249,999",(1) Metro,(3) South,(0) No,(1) Yes,(2) 2,"(3) No, have not moved"
(5) None of the time,(5) None of the time,(3) Some of the time ,(5) None of the time,(5) None of the time,(5) None of the time,55,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(1) Male,(1) Yes,"(18) $150,000 to $174,999",(1) Metro,(4) West,(0) No,(1) Yes,(0) 0,"(3) No, have not moved"
(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,(3) Some of the time ,(5) None of the time,63,"(1) White, Non-Hispanic",(1) Less than high school,(1) Male,(1) Yes,"(05) $12,500 to $14,999",(1) Metro,(1) Northeast,(0) No,(0) No,(0) 0,"(3) No, have not moved"
(1) All of the time,(3) Some of the time ,(1) All of the time,(4) A little of the time,(3) Some of the time ,(3) Some of the time ,52,"(1) White, Non-Hispanic",(2) High school,(2) Female,(1) Yes,"(05) $12,500 to $14,999",(0) Non-Metro,(3) South,(0) No,(1) Yes,(1) 1,"(3) No, have not moved"
(2) Most of the time ,(2) Most of the time ,(2) Most of the time ,(2) Most of the time ,(2) Most of the time ,(3) Some of the time ,46,(4) Hispanic,(1) Less than high school,(2) Female,(1) Yes,"(01) Less than $5,000",(1) Metro,(4) West,(0) No,(0) No,(0) 0,"(3) No, have not moved"
(4) A little of the time,(5) None of the time,(3) Some of the time ,(5) None of the time,(4) A little of the time,(5) None of the time,49,"(1) White, Non-Hispanic",(3) Some college,(2) Female,(1) Yes,"(14) $75,000 to $84,999",(0) Non-Metro,(2) Midwest,,(1) Yes,(0) 0,"(3) No, have not moved"
(5) None of the time,(3) Some of the time ,(4) A little of the time,(2) Most of the time ,(3) Some of the time ,(5) None of the time,60,"(1) White, Non-Hispanic",(3) Some college,(2) Female,(1) Yes,"(12) $50,000 to $59,999",(0) Non-Metro,(1) Northeast,(0) No,(1) Yes,(0) 0,"(3) No, have not moved"
(4) A little of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,41,"(1) White, Non-Hispanic",(1) Less than high school,(1) Male,(0) No,"(08) $25,000 to $29,999",(0) Non-Metro,(2) Midwest,,(0) No,(0) 0,"(3) No, have not moved"
(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,32,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(2) Female,(1) Yes,"(18) $150,000 to $174,999",(1) Metro,(3) South,(1) Yes,(1) Yes,(1) 1,"(3) No, have not moved"
(3) Some of the time ,(2) Most of the time ,(2) Most of the time ,(3) Some of the time ,(3) Some of the time ,(2) Most of the time ,45,(4) Hispanic,(3) Some college,(1) Male,(1) Yes,"(13) $60,000 to $74,999",(1) Metro,(3) South,(0) No,(1) Yes,(0) 0,"(3) No, have not moved"
(4) A little of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,57,"(1) White, Non-Hispanic",(2) High school,(2) Female,(1) Yes,"(08) $25,000 to $29,999",(1) Metro,(2) Midwest,(0) No,(1) Yes,(1) 1,"(3) No, have not moved"
(3) Some of the time ,(4) A little of the time,(3) Some of the time ,(4) A little of the time,(4) A little of the time,(5) None of the time,28,(4) Hispanic,(3) Some college,(2) Female,(1) Yes,"(16) $100,000 to $124,999",(1) Metro,(4) West,(0) No,(0) No,(3) 3,"(3) No, have not moved"
(1) All of the time,(1) All of the time,(1) All of the time,(1) All of the time,(1) All of the time,(1) All of the time,41,"(2) Black, Non-Hispanic",(2) High school,(1) Male,(1) Yes,"(01) Less than $5,000",(1) Metro,(3) South,(0) No,(1) Yes,(0) 0,"(3) No, have not moved"
(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,(5) None of the time,(5) None of the time,37,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(1) Male,(1) Yes,"(01) Less than $5,000",(1) Metro,(3) South,(0) No,(1) Yes,(3) 3,"(1) Yes, moved once"
(3) Some of the time ,(3) Some of the time ,(2) Most of the time ,(3) Some of the time ,(3) Some of the time ,(4) A little of the time,49,"(2) Black, Non-Hispanic",(3) Some college,(1) Male,(1) Yes,"(08) $25,000 to $29,999",(1) Metro,(4) West,(0) No,(0) No,(3) 3,"(3) No, have not moved"
(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,54,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(2) Female,(1) Yes,"(11) $40,000 to $49,999",(1) Metro,(2) Midwest,(0) No,(1) Yes,(1) 1,"(3) No, have not moved"
(2) Most of the time ,(2) Most of the time ,(2) Most of the time ,(2) Most of the time ,(2) Most of the time ,(3) Some of the time ,43,(4) Hispanic,(4) Bachelor's degree or higher,(1) Male,(0) No,"(08) $25,000 to $29,999",(1) Metro,(3) South,,(0) No,(0) 0,"(3) No, have not moved"
(2) Most of the time ,(3) Some of the time ,(1) All of the time,(4) A little of the time,(3) Some of the time ,(4) A little of the time,20,"(1) White, Non-Hispanic",(2) High school,(1) Male,(0) No,"(14) $75,000 to $84,999",(1) Metro,(3) South,(0) No,(0) No,(0) 0,"(3) No, have not moved"
(3) Some of the time ,(5) None of the time,(3) Some of the time ,(3) Some of the time ,(5) None of the time,(5) None of the time,22,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(1) Male,(1) Yes,"(06) $15,000 to $19,999",(1) Metro,(4) West,(1) Yes,(0) No,(0) 0,"(1) Yes, moved once"
(3) Some of the time ,(2) Most of the time ,(2) Most of the time ,(2) Most of the time ,(1) All of the time,(4) A little of the time,43,(4) Hispanic,(2) High school,(2) Female,(1) Yes,"(04) $10,000 to $12,499",(1) Metro,(1) Northeast,,(1) Yes,(0) 0,"(3) No, have not moved"
(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,(5) None of the time,(5) None of the time,56,(4) Hispanic,(4) Bachelor's degree or higher,(2) Female,(1) Yes,"(21) $250,000 or more",(1) Metro,(4) West,,(1) Yes,(0) 0,"(3) No, have not moved"
(3) Some of the time ,(3) Some of the time ,(2) Most of the time ,(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,20,"(1) White, Non-Hispanic",(3) Some college,(1) Male,(1) Yes,"(10) $35,000 to $39,999",(1) Metro,(4) West,,(0) No,(0) 0,"(3) No, have not moved"
(3) Some of the time ,(4) A little of the time,(3) Some of the time ,(4) A little of the time,(4) A little of the time,(5) None of the time,51,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(1) Male,(0) No,"(17) $125,000 to $149,999",(1) Metro,(4) West,,(0) No,(0) 0,"(3) No, have not moved"
(2) Most of the time ,(2) Most of the time ,(2) Most of the time ,(2) Most of the time ,(1) All of the time,(1) All of the time,64,"(1) White, Non-Hispanic",(2) High school,(1) Male,(1) Yes,"(06) $15,000 to $19,999",(1) Metro,(2) Midwest,(0) No,(0) No,(0) 0,"(3) No, have not moved"
(2) Most of the time ,(3) Some of the time ,(3) Some of the time ,(2) Most of the time ,(3) Some of the time ,(2) Most of the time ,30,"(5) 2+ Races, Non-Hispanic",(2) High school,(2) Female,(1) Yes,"(07) $20,000 to $24,999",(1) Metro,(3) South,(0) No,(0) No,(1) 1,"(3) No, have not moved"
(3) Some of the time ,(3) Some of the time ,(2) Most of the time ,(4) A little of the time,(2) Most of the time ,(3) Some of the time ,36,"(1) White, Non-Hispanic",(3) Some college,(2) Female,(1) Yes,"(09) $30,000 to $34,999",(1) Metro,(2) Midwest,(0) No,(0) No,(2) 2,"(3) No, have not moved"
(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,(5) None of the time,(5) None of the time,38,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(1) Male,(1) Yes,"(16) $100,000 to $124,999",(1) Metro,(3) South,(0) No,(1) Yes,(3) 3,"(3) No, have not moved"
(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,(4) A little of the time,(2) Most of the time ,(4) A little of the time,57,"(1) White, Non-Hispanic",(1) Less than high school,(2) Female,(1) Yes,"(04) $10,000 to $12,499",(0) Non-Metro,(1) Northeast,(0) No,(1) Yes,(0) 0,"(3) No, have not moved"
(3) Some of the time ,(4) A little of the time,(4) A little of the time,(5) None of the time,(4) A little of the time,(5) None of the time,40,(4) Hispanic,(3) Some college,(2) Female,(0) No,"(14) $75,000 to $84,999",(1) Metro,(4) West,(0) No,(1) Yes,(3) 3,"(3) No, have not moved"
(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,(3) Some of the time ,(2) Most of the time ,(3) Some of the time ,58,(4) Hispanic,(4) Bachelor's degree or higher,(2) Female,(0) No,"(16) $100,000 to $124,999",(1) Metro,(2) Midwest,(0) No,(1) Yes,(0) 0,"(3) No, have not moved"
(2) Most of the time ,(3) Some of the time ,(3) Some of the time ,(2) Most of the time ,(3) Some of the time ,(4) A little of the time,39,(4) Hispanic,(3) Some college,(1) Male,(1) Yes,"(19) $175,000 to $199,999",(1) Metro,(4) West,(1) Yes,(1) Yes,(0) 0,"(3) No, have not moved"
(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,(5) None of the time,47,"(1) White, Non-Hispanic",(4) Bachelor's degree or higher,(1) Male,(1) Yes,"(18) $150,000 to $174,999",(1) Metro,(2) Midwest,(0) No,(1) Yes,(1) 1,"(3) No, have not moved"
